prenom,nom,poste,tel,service,fonction
melusine,Enfaillite,Directrice generale,0102031101,administratif,manager
sophie,Stikez,Assistance de direction, 0102031102,administratif,employee
al,Gorytm, Directeur R&D,0102033301,R&D,manager
klaus,Trophoble,Développeur,0102033302,R&D,employee
pierre,Kiroule,Commercial,010203303,Commerce,employee
namass,Pasmouse,Avant-Ventes,010203303,Commerce,employee
théo,Raime,Développeur,01024402,R&D,employee
paul,Emploi,DRH,01010101001,administratif,manager
li,Censiez,Assistance RH,010101021001,administratif,employee
dolly,Prane,Quality Assistance, 01125555555550,support,employee
jean,Sarien,Helpdesk,011111111111,support,employee
sarah,Kroche,Standartiste,0110010010011,administratif,employee
